"","x"
"1",0
"2",1.13886473562118e-05
"3",0
"4",0
"5",0.000170296318162086
"6",0.989451335054973
"7",0.444847694808801
"8",0.999990766502297
"9",0.856666536244469
"10",0.00974586707618653
"11",0.00702617364380442
"12",0.0322286825950367
"13",0.0194125860968424
"14",0.00132911681554265
"15",0.0120467194585935
"16",0.00503490399586494
"17",0.00178428828982652
"18",0.897491963395645
"19",0.498536814362795
"20",0.0870306239211869
"21",0.0233548596464583
"22",0
"23",0
"24",0.253506243816322
"25",0.0887780670093569
"26",0.346906408802516
"27",0.392391597643144
"28",0.000382090534154031
"29",9.78841710457455e-05
"30",0.00195595341270504
"31",0.0135154515579181
"32",0.000447885753269265
"33",0.000300898125919566
"34",0.000483195348763032
"35",0.0244418808565671
"36",0.0104495893847776
"37",0.107448654677804
"38",0.00518278923789272
"39",0.00674428587391655
"40",0.0121511384932737
"41",0.00107073472036238
"42",0.193151406250986
"43",0.305451751273115
"44",0.0392818659991705
"45",0.00218672608412042
"46",0.296870202364265
"47",0.138721230058781
"48",0.0565639306268696
"49",0.999990850632799
"50",0.999990510847745
"51",0
"52",1.83699199998282e-05
"53",0
"54",0.000264620750093439
"55",0.224945049762098
"56",0.999762216555113
"57",0.200136630850241
"58",0.0026197612828032
"59",0.999992436106265
"60",0.425709958311373
"61",0.368872247226571
"62",0.877887702484936
"63",0.0283951454671302
"64",0.0896905585291221
"65",0.000981772282095258
"66",0.0686015375572624
"67",0.00708328553216828
"68",0.000352004124004457
"69",0.0290878697000098
"70",0.999990899184574
"71",0.0184964087284243
"72",0.0835970551337299
"73",0.0428893019003899
"74",0.730281529417184
"75",0.127114946121488
"76",0.00737729723996161
"77",0.0144254791665673
"78",0.00476599774746007
"79",0.152835311420393
"80",0.422662908315541
"81",0.999991546164
"82",0.425740609239039
"83",0.999991791921799
"84",0.932856383200445
"85",0.00308741686109807
"86",0.0350803032354045
"87",0.186755573132488
"88",0.0122139321325752
"89",0.0190952387543269
"90",0.770501403615946
"91",0.0502156918887661
"92",8.89610689368377e-05
"93",0.000405479749155497
"94",0.00240508167606226
"95",0.0326205121886546
"96",0.172838382428524
"97",0.999990274111301
"98",0.00856614890241389
"99",0.11597031999451
"100",0.999957789006786
"101",0.0445254485072174
"102",0.245631163185132
"103",0.000207441704758646
"104",0.173942287349517
"105",0.298627792367628
"106",0.418807237790594
"107",0.158986568330298
"108",0.252564651630056
"109",0.00276459505136641
"110",0.00511764687511005
"111",0.00200804631988489
"112",0.00791372124814605
"113",0.648150453620787
"114",0.0210727384839076
"115",0.00451796208493032
"116",0.00059681966087239
"117",0.00282268659595789
"118",0.00291623435486101
"119",0.639697906914661
"120",0.961156176963967
"121",0.999990821743442
"122",0.14125023520288
"123",0.0652598193228629
"124",0.535669355504848
"125",0.298168076498534
"126",1.93114160528963e-05
"127",0.000731557008522669
"128",0.207194689202608
"129",0.00132047428092911
"130",3.81918195777379e-05
"131",0.00042273052424852
"132",0.000131664103043272
"133",0.0658083579347533
"134",0.00427232925378476
"135",0.104102913007281
"136",0.921239637691376
"137",0.156959224617304
"138",0.299598912624538
"139",0.0569999233251506
"140",0.174892877644563
"141",0.998540112432916
"142",0.999990056600432
"143",0.0574603019606882
"144",2.01029303397747e-05
"145",0.000301329881918594
"146",0.000146751505690705
"147",0.0199195986807921
"148",0.000582758810501328
"149",4.35671834725218e-05
"150",0.00989852692391735
"151",0.999990909511011
"152",0.979974687844637
"153",0.0470677046247335
"154",0.269043981875306
"155",0.00468441831678359
"156",0.00430895366875019
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",2.84312039635243e-05
"167",0
"168",0
"169",0.000331064684013802
"170",0.216529578368531
"171",0.0734054281811997
"172",0.00209165874466263
"173",0.000271243622696414
"174",0.000274694851338618
"175",0.0232292091710563
"176",0.0258533195797801
"177",0.000963416946409093
"178",0.0522761752430425
"179",0.0948404798342752
"180",0.264787824351
"181",0.0060616237356399
"182",0.122922506549471
"183",0.157690719797192
"184",0.165511069715214
"185",0.556975864468857
"186",0.170846658075824
"187",0.0096039714878714
"188",0.999953781041086
"189",0.029523269175172
"190",0.0133938522488568
"191",0
"192",0.0243619733069959
"193",0.00462640084236389
"194",0.0218595718145848
"195",0.000447230452972836
"196",0.000546075994938598
"197",0.00252926086116295
"198",0.0852029035079536
"199",0.990265912313588
"200",0.0594253549416524
"201",0.00207557447734594
"202",0.00146591846620872
"203",0.226379561125081
"204",0.659017683810708
"205",0.130114267842492
"206",0.835243190831425
"207",0.00939801999510919
"208",0.000903515555316504
"209",0.00182635937361071
"210",0
"211",0
"212",0.000284431725797364
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0.000150988004488246
"229",5.43307031897083e-05
"230",0.00275337238048035
"231",0.00015917506909587
"232",0.00188369554707368
"233",0.0259263076671461
"234",0.012892550818585
"235",0.18938791570879
"236",1.14665555012617e-05
"237",0.0851587587282658
"238",0.605244461740939
"239",0.00116453767430952
"240",0.000604134453364397
"241",0
"242",7.7104046132957e-05
"243",0.0122856830251502
"244",0.655392961796109
"245",0.640330675274095
"246",0.801243733410767
"247",0.00930689073331443
"248",0.999991175327831
"249",0.0651023122483503
"250",0.4305371952507
"251",0.000133050083946801
"252",0
"253",0
"254",0
"255",0
"256",1.35572440394442e-05
"257",6.26361060384689e-05
"258",0
"259",0
"260",0
"261",0
"262",0.000105558681357151
"263",0
"264",3.77746070077833e-05
"265",0.00958913271608693
"266",0.447428268117842
"267",0.0160875237574159
"268",0.00125613513695328
"269",0.0126481745701743
"270",0.0211725854678269
"271",0.161435567958344
"272",0.0176553498920634
"273",0.0018835549866848
"274",0.00071125656927552
"275",0.000394194112436628
"276",0.000125512096846989
"277",0.00221815210502763
"278",0.0374771689383743
"279",0.0125476398690546
"280",0.999991158845727
"281",0.907782189244773
"282",0.999991965131398
"283",0.06204417012372
"284",0.00295759539832002
"285",0
"286",0.00154711979177487
"287",0.000270574851054061
"288",0.00199918987130781
"289",0.167822531054001
"290",0.999955782483242
"291",0.999874495176461
"292",0.0171239500321379
"293",0.1309231922593
"294",0.00885239538714832
"295",0.999991777019515
"296",0.0859465259178844
"297",0.858043420916829
"298",0.0632190438935767
"299",0.999983270218802
"300",0.0909665666605268
"301",0.929819805916432
"302",0.0022536023156854
"303",0.00878385248250107
"304",0.862931231990786
"305",0.00717428431026752
"306",0.0279183089934432
"307",0.444311453232733
"308",0.985171662870198
"309",1.53270734052134e-05
"310",0.999955076830769
"311",0.189906832577616
"312",0.00940378787849082
"313",0.119028848686622
"314",0.12091911448341
"315",0.075598229940748
"316",0.091244129035895
"317",0.0316023909399405
"318",0.33382498763182
"319",0.999504034451554
"320",0.00298371322628825
"321",0.215252299019196
"322",0.00323024867886731
"323",0.00030941594120795
"324",0.000315916251156286
"325",0.00616237243838889
"326",0.092549521093443
"327",0.000518463845381094
"328",7.41861966449338e-05
"329",0.00572764300307142
"330",0.0114661051775426
"331",0.0457069124323876
"332",0.017842433383656
"333",0.0565051322969515
"334",0.799689522248229
"335",0.0377103546788277
"336",0.00538171033637675
"337",0.00606934452717143
"338",0.000537673067494227
"339",0.0970162126481615
"340",0.0309297245029113
"341",0.00034137502003485
"342",0.000680308472221084
"343",9.46811223297238e-05
"344",0.000569084958719964
"345",0
"346",1.87594039126189e-05
"347",0.000593921640343778
"348",0.0013282881695706
"349",1.41441753293487e-05
"350",0.0232904680469231
"351",0.0510816459841964
"352",0.0329793554603646
"353",0.0202504677692949
"354",0.0331419592188234
"355",0
"356",0.0549426585968872
"357",0.99995938949678
"358",0.143251601914446
"359",0.00954814909500751
"360",0.147441547645133
"361",0.021474196001699
"362",0.00128003478370986
"363",0.152444960834683
"364",0.000709916580755015
"365",0.975697577561446
"366",0.0129741328864829
"367",0.0170255463434125
"368",0.00582531404736464
"369",0.00718733701122072
"370",8.90770789211894e-05
"371",0
"372",2.04334217949765e-05
"373",0.000994676797854602
"374",1.49994095139847e-05
"375",0.000297502472649577
"376",0.000748173573456164
"377",0.000104595267832215
"378",0.0535818511764672
"379",0.0263644283673239
"380",0.0271304792272185
"381",0.130329765390289
"382",3.88927946357146e-05
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",1.9012697650265e-05
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",1.97504873156753e-05
"436",0.0363575715541155
"437",1.52341386876111e-05
"438",0
"439",0
"440",0.00174511721407924
"441",0.0126958409530315
"442",0.995768028018213
"443",0.550912196028756
"444",0.0339048276513806
"445",0.265513768284194
"446",0.505673206292838
"447",0.000338934719474951
"448",0.000165523403198783
"449",0.000168397100459396
"450",0.000232314129559146
"451",0.000225875210011213
"452",0.0344931810777695
"453",0.0018960865855209
"454",0.00233614504132566
"455",0.081773363608857
"456",0.0612779780248548
"457",0.000406622866967383
"458",0.00230911063803642
"459",0.000533321685909731
"460",0.000121982173361425
"461",0
"462",0
"463",0
"464",0
"465",0
