"","x"
"117",0
"118",0
"119",0.0427937325779318
"120",0.197641822320364
"121",0.998214093368106
"122",0.00245400680961404
"123",0.000639850406971393
"124",0.0285300482614917
"125",0.00912665033411284
"126",0
"127",0
"128",0.00477671936545245
"129",0
"130",0
"131",0
"132",0
"133",0.000649365980134729
"134",0
"135",0.0014467768316726
"136",0.145636030917841
"137",0.00294573535348045
"138",0.00920633616386781
"139",0.000503613264513799
"140",0.0035541699545062
"141",0.430019900042972
"142",0.735215099025226
"143",0.000510844105129746
"144",0
"145",0
"146",0
"147",7.26723622105664e-05
"148",0
"149",0
"150",1.84169879129698e-05
"151",0.999477444162472
"152",0.24665029568918
"153",0.000357773750433382
"154",0.00758298675169022
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0.00516060511398596
"171",0.000786894530192677
"172",0
"173",0
"174",0
"175",9.74119743546865e-05
"176",0.000119147291655413
"177",0
"178",0.000431725979272205
"179",0.00123063847225858
"180",0.00736964969780885
"181",0
"182",0.00192939717289755
"183",0.00296956950398391
"184",0.00322962255132432
"185",0.0310634402896374
"186",0.00341251751781035
"187",1.74906864494158e-05
"188",0.62570304665371
"189",0.000152709787788589
"190",3.35879052053026e-05
"191",0
"192",0.000106596424636687
"193",0
"194",8.68109607876655e-05
"195",0
"196",0
"197",0
"198",0.00102118322356653
"199",0.299334094761787
"200",0.000542243116051621
"201",0
"202",0
"203",0.00558072935978911
"204",0.0460638677721188
"205",0.00212890225169148
"206",0.0932095069873914
"207",1.68280553756262e-05
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0.000119758826949132
"234",3.09505333561542e-05
"235",0.00408256744352686
"236",0
"237",0.00102025725190186
"238",0.0375008585995165
"239",0
"240",0
"241",0
"242",0
"243",2.82537369566818e-05
"244",0.0454322288620315
"245",0.0428971785879301
"246",0.0804743646709865
"247",1.65307665303552e-05
"248",0.999990064516495
"249",0.000637142711502352
"250",0.018215295331158
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",1.74433663970468e-05
"266",0.0196586517070182
"267",4.80516740458197e-05
"268",0
"269",2.97283752758991e-05
"270",8.16373098420245e-05
"271",0.0030929117379994
"272",5.7595942569865e-05
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0.000236882725266773
"279",2.93231528712966e-05
"280",0.999990045959695
"281",0.134201046141207
"282",0.999990953737098
"283",0.000585254959942458
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0.0033083118423312
"290",0.627842522920011
"291",0.575024912858365
"292",5.43213950982832e-05
"293",0.00215185844430391
"294",1.50086828780796e-05
"295",0.99999074194651
"296",0.00103677956588771
"297",0.103528272939517
"298",0.000604978906434844
"299",0.67370643339827
"300",0.00114453810304608
"301",0.154050856700502
"302",0
"303",1.47731917541361e-05
"304",0.105979015497673
"305",0
"306",0.000137618111451215
"307",0.0193867829663602
"308",0.268723684790534
"309",0
"310",0.627088346085711
"311",0.00410209197337212
"312",1.68467850907553e-05
"313",0.00182484089318492
"314",0.00187529819492475
"315",0.00082855457484227
"316",0.00115061520736284
"317",0.000173230584434142
"318",0.0112243812370589
"319",0.497446042498517
"320",0
"321",0.00510726240630609
"322",0
"323",0
"324",0
"325",0
"326",0.00117940721974689
"327",0
"328",0
"329",0
"330",2.47733567807262e-05
"331",0.00033937748454222
"332",5.87282562814736e-05
"333",0.000495875666545839
"334",0.0799527266775561
"335",0.00023954553399663
"336",0
"337",0
"338",0
"339",0.00128011386799876
"340",0.000166479312571797
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",9.78876452967474e-05
"351",0.000414277647626559
"352",0.000187401224989499
"353",7.50401729203999e-05
"354",0.00018908010971488
"355",0
"356",0.000471749095451188
"357",0.631695020893061
"358",0.00251450601686962
"359",1.73123286987255e-05
"360",0.00264319792544531
"361",8.39265019330839e-05
"362",0
"363",0.00280047366791613
"364",0
"365",0.232360447606292
"366",3.13858065580548e-05
"367",5.37052769486687e-05
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0.000451139534849883
"379",0.000123659140502345
"380",0.00013040359130539
"381",0.00213501049605964
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0.000224125536264292
"437",0
"438",0
"439",0
"440",0
"441",2.99195135719588e-05
"442",0.358395605136334
"443",0.0303247509112422
"444",0.000197190307720412
"445",0.00740582113112508
"446",0.0252406470222982
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0.000203523945337843
"453",0
"454",0
"455",0.000950524718621661
"456",0.000572530409411321
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0.0553321130694372
"471",0.0575406970965657
"472",0.0761671577304323
"473",0
"474",0.000976169272124782
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0.00382621025623808
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0.998153732177311
"494",0.000218634951637734
"495",0.00035554953173987
"496",0.193090637390078
"497",0.373057001425816
"498",0
"499",0.994134167853956
"500",1.66661847221056e-05
