"","ReturnPeriod","ReturnLevel","100LevelNum"
"1",0.999999870058474,1.10126073681371,59
"2",0.999985471608051,1.1485628032972,0
"3",0.999965756465509,1.19586486978069,0
"4",0.999927336036009,1.24316693626418,0
"5",0.999793461213986,1.29046900274767,0
"6",0.999117602991734,1.33777106923116,0
"7",0.996065852654795,1.38507313571465,0
"8",0.986060094480659,1.43237520219813,0
"9",0.962499796880798,1.47967726868162,0
"10",0.919933211329563,1.52697933516511,0
"11",0.856283908417527,1.5742814016486,0
"12",0.772812224092258,1.62158346813209,0
"13",0.673601474947188,1.66888553461558,0
"14",0.565303560724587,1.71618760109907,0
"15",0.456163140276275,1.76348966758256,0
"16",0.354145850269172,1.81079173406604,0
"17",0.26513349634868,1.85809380054953,0
"18",0.192118627636838,1.90539586703302,0
"19",0.135448090907472,1.95269793351651,0
"20",0.0935389995566197,2,0
"21",0.0623310899757682,2.05,0
"22",0.0594772493630694,2.05569620253165,0
"23",0.0567486409553795,2.06139240506329,0
"24",0.0541406763762531,2.06708860759494,0
"25",0.0516484029296935,2.07278481012658,0
"26",0.0492674562871698,2.07848101265823,0
"27",0.046993172188803,2.08417721518987,0
"28",0.0448212197287613,2.08987341772152,0
"29",0.0427473131712626,2.09556962025316,0
"30",0.0407676577027596,2.10126582278481,0
"31",0.0388780966938728,2.10696202531646,0
"32",0.0370748569807195,2.1126582278481,0
"33",0.0353543762202216,2.11835443037975,0
"34",0.0337129355027481,2.12405063291139,0
"35",0.0321472071774457,2.12974683544304,0
"36",0.0306539886856361,2.13544303797468,0
"37",0.0292301311670777,2.14113924050633,0
"38",0.0278723286456048,2.14683544303797,0
"39",0.0265779868100771,2.15253164556962,0
"40",0.0253441583143494,2.15822784810127,0
"41",0.0241679716492489,2.16392405063291,0
"42",0.023047126035863,2.16962025316456,0
"43",0.0219789945797061,2.1753164556962,0
"44",0.0209608720024806,2.18101265822785,0
"45",0.0199908200739224,2.18670886075949,0
"46",0.0190664716016767,2.19240506329114,0
"47",0.0181859080410862,2.19810126582278,0
"48",0.0173466799521419,2.20379746835443,0
"49",0.0165470998248174,2.20949367088608,0
"50",0.0157850437586856,2.21518987341772,0
"51",0.0150589967424489,2.22088607594937,0
"52",0.0143669505875761,2.22658227848101,0
"53",0.013707128361189,2.23227848101266,0
"54",0.0130782119658554,2.2379746835443,0
"55",0.0124785975004955,2.24367088607595,0
"56",0.0119066754237143,2.24936708860759,0
"57",0.0113612372697402,2.25506329113924,0
"58",0.0108409734278493,2.26075949367089,0
"59",0.010344548277162,2.26645569620253,0
"60",0.00987082432641355,2.27215189873418,0
"61",0.00941877742559287,2.27784810126582,0
"62",0.00898722932698554,2.28354430379747,0
"63",0.00857529365951927,2.28924050632911,0
"64",0.00818170770513978,2.29493670886076,0
"65",0.00780586326486885,2.3006329113924,0
"66",0.00744687658382288,2.30632911392405,0
"67",0.00710406490192342,2.3120253164557,0
"68",0.00677646900806007,2.31772151898734,0
"69",0.00646361290734891,2.32341772151899,0
"70",0.00616473708119049,2.32911392405063,0
"71",0.00587937402642933,2.33481012658228,0
"72",0.00560685105710562,2.34050632911392,0
"73",0.0053467053039977,2.34620253164557,0
"74",0.00509831411111088,2.35189873417722,0
"75",0.00486117948253738,2.35759493670886,0
"76",0.00463499322114412,2.36329113924051,0
"77",0.00441923916939573,2.36898734177215,0
"78",0.00421358615576391,2.3746835443038,0
"79",0.00401756083252377,2.38037974683544,0
"80",0.00383083320564699,2.38607594936709,0
"81",0.00365304844448368,2.39177215189873,0
"82",0.00348376797786244,2.39746835443038,0
"83",0.00332280611044774,2.40316455696203,0
"84",0.00316981722280197,2.40886075949367,0
"85",0.00302422057301785,2.41455696202532,0
"86",0.00288594961888108,2.42025316455696,0
"87",0.00275466442850472,2.42594936708861,0
"88",0.00262993857277951,2.43164556962025,0
"89",0.00251157933347525,2.4373417721519,0
"90",0.0023992980300767,2.44303797468354,0
"91",0.00229279037613065,2.44873417721519,0
"92",0.00219179793953778,2.45443037974684,0
"93",0.00209602040427642,2.46012658227848,0
"94",0.00200524984006009,2.46582278481013,0
"95",0.00191918561550362,2.47151898734177,0
"96",0.00183765451296746,2.47721518987342,0
"97",0.00176036877387333,2.48291139240506,0
"98",0.001687153044129,2.48860759493671,0
"99",0.00161777949241112,2.49430379746835,0
"100",0.0015519926027407,2.5,0
